name,description,price,material,image,category,subcategory,subsubcategory,size,color,stock
"Mioglrie","Mioglrie Baby Girl Clothes Newborn Dress Summer Toddler Girls' Clothing Casual Sundress with Cute Bag Infant Outfits",9.98,"Cotton Blend","https://m.media-amazon.com/images/I/71UQg9obFlL._AC_SX679_.jpg","Clothing","Baby","Girl","[""XS"", ""S"", ""M"", ""L"", ""XL""]","[""Blue"", ""Orange"", ""Pink"", ""Red"", ""Green""]",100
"Amnnchya","Toddler Baby Girl St Patricks Day Outfit Little Girl Clothes Skirt Set Lucky Charm Sweatshirt Clover Tutu Dress",24.99,"95% Cotton, 5% Elastane","https://m.media-amazon.com/images/I/71O+wR28YYL._AC_SX679_.jpg","Clothing","Baby","Girl","[""XS"", ""S"", ""M"", ""L"", ""XL""]","[""Green""]",100
"Kuriozud","Kuriozud My First Easter Outfit Baby Girl Bunny Romper Onesie Bodysuit +Ruffle Tutu Shorts Bloomer 1st Easter Clothes",5.99,"95% Cotton, 5% Polyester","https://m.media-amazon.com/images/I/71rcYa7KKgL._AC_SX679_.jpg","Clothing","Baby","Girl","[""XS"", ""S"", ""M"", ""L"", ""XL""]","[""Beige"", ""Pink""]",100
"Kucnuzki","Kucnuzki Baby Girl Clothes Toddler Girls Summer Dress Ruffle Fly Sleeve Casual Sundress Square Neck Cute Outfit for Kids",13.99,"Cotton blend","https://m.media-amazon.com/images/I/71DEflPH5QL._AC_SX679_.jpg","Clothing","Baby","Girl","[""XS"", ""S"", ""M"", ""L"", ""XL""]","[""Blue"", ""Yellow"", ""Purple"", ""Apricot"", ""Pink"", ""Green""]",100
"Sodlon","Toddler Girl Summer Dress Infant Baby Girl Casual Clothes Sleeveless Bowknot Beach Sundress with Hat",17.99,"100% Polyester","https://m.media-amazon.com/images/I/81c5xRLoIdL._AC_SX679_.jpg","Clothing","Baby","Girl","[""XS"", ""S"", ""M"", ""L"", ""XL""]","[""Blue"", ""Red"", ""Aprioct""]",100


