name,description,price,color,size,material,image,category,subcategory,subsubcategory,stock
"Nordstrom","Classic Cotton Pajamas",46.75,"[""Blue"", ""White"", ""Green"", ""Pink""]","[""XS"", ""S"", ""M""]","Cotton","https://n.nordstrommedia.com/it/ba4ea18e-662b-4cad-89c9-c8baa518ed23.jpeg?trim=color&amp;w=350&amp;h=536","Clothing","Women","Sleepwear",100
"Nordstrom","Brushed Cozy Thermal Pajamas",72,"[""White"", ""Grey""]","[""XS"", ""S""]","Polyester, Rayon","https://n.nordstrommedia.com/it/9eca4d47-8578-4df9-8d52-65efec50a1d6.jpeg?trim=color&amp;w=350&amp;h=536","Clothing","Women","Sleepwear",100
"Nordstrom","Clea Classic Short Sleeve Maternity/Nursing/Postpartum Pajamas",64.9,"[""Black"", ""Blue"", ""Red""]","[""XS"", ""S"", ""M"", ""L"", ""XL""]","Viscose, Spandex","https://n.nordstrommedia.com/it/70b187ab-f159-4893-8d86-b0d3c4418451.jpeg?trim=color&amp;w=350&amp;h=536","Clothing","Women","Sleepwear",100
"Nordstrom","Golden Hour Cotton Twill Pajamas",30.6,"[""White"", ""Purple"", ""Light Blue"", ""Red"", ""Green"", ""Pink""]","[""XS"", ""S"", ""M"", ""L"", ""XL""]","Cotton","https://n.nordstrommedia.com/it/d76a1198-69d5-40b8-afbc-1fb196667aea.jpeg?trim=color&amp;w=350&amp;h=536","Clothing","Women","Sleepwear",100
"H&M","Snug Fit Cotton Jersey Pajamas",19.99,"[""Red"", ""White"", ""Blue"", ""Green""]","[""XS"", ""S"", ""M"", ""L"", ""XL""]","Cotton","https://image.hm.com/assets/hm/0f/e6/0fe620af5a3b011b5a506ad9dd726ad2951bcfd5.jpg?imwidth=2160","Clothing","Women","Sleepwear",100
"H&M","Snug Fit printed cotton pyjamas",9.99,"[""Beige"", ""Green"", ""Blue"", ""Pink"", ""White""]","[""XS"", ""S"", ""M"", ""L"", ""XL""]","Cotton","https://image.hm.com/assets/hm/34/94/3494b629431dfc79e9cfe84764d4d3ab035134d9.jpg?imwidth=1536","Clothing","Women","Sleepwear",100
