name,description,price,color,size,material,image,category,subcategory,subsubcategory,stock
Nordstrom,Cloud Fleece Half Zip,69,"[""White"", ""Grey"", ""Beige"", ""Purple""]","[""XS"", ""S"", ""M"", ""L"", ""XL""]","72% cotton, 25% polyester, 3% spandex",https://n.nordstrommedia.com/it/a9b98128-25ae-4f98-88b9-9e78ec274049.jpeg?trim=color&amp;w=350&amp;h=536,Clothing,Women,Winterwear,100
Nordstrom,Escape Fleece Hoodie,94,"[""Black"", ""White"", ""Brown""]","[""XS"", ""S"", ""M"", ""L"", ""XL""]","45% cotton, 45% acrylic, 10% elastane",https://n.nordstrommedia.com/it/8d6b2784-7a22-4e6a-a4f9-0b1ee2ec207d.jpeg?crop=pad&w=780&h=1196,Clothing,Women,Winterwear,100
Nordstrom,Davidson Woven Sweatshirt,128,"[""Beige"", ""Purple"", ""Black""]","[""XS"", ""S"", ""M"", ""L"", ""XL""]","72% viscose, 23% polyester, 5% elastane",https://n.nordstrommedia.com/it/7f78e6f5-3582-4b0c-a3f8-7bdc19ffb819.jpeg?trim=color&amp;w=350&amp;h=536,Clothing,Women,Winterwear,100
Nordstrom,Classic Fleece Hoodie,49.99,"[""White"", ""Black"", ""Beige""]","[""XS"", ""S"", ""M"", ""L"", ""XL""]",80% Cotton 20% Recycled Polyester,https://n.nordstrommedia.com/it/77dda474-64a3-42d2-add7-cb3586361d23.jpeg?trim=color&amp;w=350&amp;h=536,Clothing,Women,Winterwear,100
Nordstrom,Intention Zip Hoodie,99,"[""Black"", ""White"", ""Blue""]","[""XS"", ""S"", ""M"", ""L"", ""XL""]","75% rayon, 16% nylon, 9% spandex",https://n.nordstrommedia.com/it/101c436c-2604-4bea-a2a9-d1eb1400d08c.jpeg?trim=color&amp;w=350&amp;h=536,Clothing,Women,Winterwear,100
Old navy,SoSoft Lite Crop Cardigan Sweater,24.99,"[""Yellow"", ""Black"", ""White"", ""Beige"", ""Pink"", ""Grey"", ""Green"", ""Red""]","[""XS"", ""S"", ""M"", ""L"", ""XL""]","55% cotton / 23% recycled polyester / 22% polyester",https://oldnavy.gap.com/webcontent/0057/264/150/cn57264150.jpg,Clothing,Women,Winterwear,100
Old navy,Polo Sweater,19.99,"[""White"", ""Black"", ""Orange""]","[""XS"", ""S"", ""M"", ""L"", ""XL""]","100% cotton",https://oldnavy.gap.com/webcontent/0056/712/564/cn56712564.jpg,Clothing,Women,Winterwear,100
Old navy,Holiday Print Mock-Neck Sweater,12.97,"[""Green"", ""Black"", ""Grey""]","[""XS"", ""S"", ""M"", ""L"", ""XL""]","80% polyester / 10% nylon / 10% wool",https://oldnavy.gap.com/webcontent/0056/536/766/cn56536766.jpg,Clothing,Women,Winterwear,100
